iter	Passed	Remaining
245	367	1126
246	369	1125
247	370	1123
248	372	1123
249	374	1122
250	375	1120
251	376	1118
252	378	1117
253	379	1115
254	381	1113
255	386	1122
256	387	1121
257	389	1121
258	391	1121
259	393	1119
260	394	1117
261	396	1116
262	397	1115
263	399	1113
264	400	1111
265	402	1109
266	404	1109
267	405	1107
268	407	1106
269	408	1105
270	410	1103
271	411	1101
272	412	1099
273	414	1098
274	416	1096
275	417	1096
276	419	1094
277	420	1093
278	422	1091
279	423	1089
280	425	1088
281	426	1086
282	428	1085
283	429	1083
284	431	1081
285	433	1081
286	434	1079
287	435	1077
288	437	1076
289	439	1075
290	440	1073
291	441	1071
292	443	1069
293	444	1068
294	446	1067
295	449	1068
296	452	1071
297	454	1070
298	456	1069
299	458	1069
300	459	1067
301	462	1068
302	464	1067
303	465	1065
304	466	1063
305	468	1062
306	470	1061
307	471	1059
308	473	1057
309	474	1056
310	476	1056
311	478	1054
312	479	1052
313	481	1051
314	483	1050
315	484	1048
316	485	1046
317	487	1044
318	488	1043
319	490	1042
320	492	1041
321	493	1039
322	495	1038
323	496	1036
324	498	1034
325	499	1033
326	501	1031
327	502	1029
328	504	1028
329	505	1027
330	507	1025
331	508	1023
332	510	1021
333	511	1020
334	513	1018
335	514	1016
336	515	1014
337	517	1013
338	519	1013
339	521	1011
340	522	1010
341	524	1008
342	525	1007
343	527	1005
344	528	1003
345	530	1001
346	531	1000
347	533	998
348	534	997
349	536	995
350	537	994
351	539	992
352	540	990
353	541	988
354	543	986
355	544	985
356	546	983
357	547	982
358	549	981
359	551	979
360	552	977
361	554	976
362	555	974
363	556	973
364	558	971
365	559	969
366	561	968
367	562	966
368	564	964
369	565	963
370	567	962
371	569	961
372	570	959
373	572	958
374	573	956
375	575	954
376	577	953
377	578	952
378	580	950
379	581	949
380	583	947
381	584	946
382	586	944
383	587	942
384	588	940
385	591	941
386	593	939
387	594	937
388	596	936
389	597	935
390	599	933
391	600	931
392	602	930
393	607	934
394	608	932
395	611	932
396	613	931
397	614	929
398	616	927
399	617	925
400	618	924
401	620	922
402	621	920
403	623	919
404	624	917
405	626	915
406	627	914
407	629	912
408	630	911
409	631	909
410	633	908
411	635	907
412	637	905
413	638	904
414	640	902
415	641	901
416	643	899
417	644	897
418	646	896
419	648	895
420	650	894
421	651	892
422	652	890
423	654	888
424	655	887
425	657	885
426	658	884
427	660	882
428	661	881
429	663	879
430	665	878
431	666	876
432	668	875
433	669	873
434	671	871
435	672	869
436	673	868
437	675	866
438	677	865
439	678	863
440	680	862
441	681	860
442	683	859
443	684	857
444	685	855
445	687	853
446	688	852
447	690	850
448	691	849
449	693	847
450	695	846
451	696	844
452	698	843
453	699	841
454	701	839
455	702	838
456	704	836
457	705	835
458	707	833
459	708	832
460	710	830
461	711	828
462	712	826
463	714	825
464	716	823
465	717	822
466	719	820
467	720	819
468	722	817
469	723	816
470	725	814
471	726	812
472	727	811
473	729	809
474	730	807
475	732	806
476	734	804
477	735	803
478	737	801
479	738	799
480	740	798
481	741	796
482	743	795
483	744	793
484	745	792
485	747	790
486	748	788
487	751	788
488	753	787
489	755	785
490	757	784
491	758	783
492	759	781
493	761	779
494	762	778
495	764	776
496	765	774
497	766	773
498	768	771
499	769	769
500	771	768
501	772	766
502	773	764
503	775	763
504	776	761
505	778	759
506	779	758
507	780	756
508	782	754
509	783	752
510	785	751
511	786	749
512	788	748
513	789	746
514	790	744
515	792	743
516	793	741
517	795	739
518	796	738
519	798	736
520	799	734
521	800	733
522	802	731
523	803	729
524	805	728
525	806	726
526	807	724
527	809	723
528	810	721
529	811	719
530	813	718
531	814	716
532	816	714
533	817	713
534	818	711
535	820	710
536	821	708
537	822	706
538	824	704
539	827	705
540	829	703
541	830	702
542	832	700
543	834	699
544	835	697
545	836	695
546	838	694
547	839	692
548	840	690
549	842	689
550	843	687
551	845	685
552	846	684
553	847	682
554	849	680
555	850	679
556	851	677
557	853	675
558	854	674
559	855	672
560	857	670
561	858	669
562	859	667
563	861	665
564	862	664
565	863	662
566	865	660
567	866	658
568	868	657
569	869	655
570	870	654
571	872	652
572	873	651
573	875	649
574	876	647
575	877	646
576	879	644
577	880	642
578	881	641
579	883	639
580	884	638
581	886	636
582	887	635
583	889	633
584	890	631
585	891	630
586	893	628
587	894	626
588	895	625
589	897	623
590	898	621
591	900	620
592	901	618
593	902	617
594	904	615
595	905	614
596	907	612
597	908	610
598	909	608
599	911	607
600	912	605
601	913	604
602	915	602
603	916	600
604	918	599
605	919	597
606	920	596
607	922	594
608	923	593
609	925	591
610	926	590
611	928	588
612	929	586
613	930	585
614	932	583
615	933	582
616	935	580
617	936	578
618	937	577
619	939	575
620	940	574
621	941	572
622	943	570
623	944	569
624	946	567
625	947	566
626	948	564
627	950	562
628	951	561
629	953	559
630	954	558
631	956	556
632	957	555
633	958	553
634	960	551
635	961	550
636	962	548
637	964	547
638	965	545
639	966	543
640	968	542
641	969	540
642	971	539
643	972	537
644	973	535
645	975	534
646	976	532
647	977	531
648	979	529
649	980	528
650	982	526
651	983	524
652	984	523
653	986	521
654	987	520
655	989	518
656	990	517
657	991	515
658	993	513
659	994	512
660	995	510
661	997	509
662	998	507
663	1000	506
664	1001	504
665	1003	503
666	1004	501
667	1005	499
668	1007	498
669	1008	496
670	1010	495
671	1011	493
672	1012	492
673	1014	490
674	1015	489
675	1017	487
676	1018	486
677	1020	484
678	1021	482
679	1022	481
680	1024	479
681	1025	478
682	1027	476
683	1028	475
684	1029	473
685	1031	472
686	1032	470
687	1034	468
688	1035	467
689	1036	465
690	1038	464
691	1039	462
692	1041	461
693	1042	459
694	1043	458
695	1045	456
696	1048	455
697	1050	454
698	1051	452
699	1053	451
700	1055	450
701	1056	448
702	1057	446
703	1059	445
704	1060	443
705	1062	442
706	1063	440
707	1064	439
708	1066	437
709	1067	436
710	1069	434
711	1070	432
712	1071	431
713	1073	429
714	1074	428
715	1076	426
716	1077	425
717	1078	423
718	1080	422
719	1081	420
720	1083	419
721	1084	417
722	1085	416
723	1087	414
724	1088	413
725	1091	411
726	1092	410
727	1094	408
728	1096	407
729	1097	406
730	1099	404
731	1100	402
732	1101	401
733	1103	399
734	1104	398
735	1105	396
736	1107	395
737	1108	393
738	1110	392
739	1111	390
740	1112	388
741	1114	387
742	1115	385
743	1116	384
744	1118	382
745	1119	381
746	1120	379
747	1122	378
748	1123	376
749	1125	375
750	1126	373
751	1127	371
752	1129	370
753	1130	368
754	1131	367
755	1133	365
756	1134	364
757	1136	362
758	1137	361
759	1138	359
760	1140	358
761	1141	356
762	1142	354
763	1144	353
764	1145	351
765	1147	350
766	1148	348
767	1149	347
768	1151	345
769	1152	344
770	1153	342
771	1154	341
772	1156	339
773	1157	338
774	1158	336
775	1160	334
776	1161	333
777	1162	331
778	1164	330
779	1165	328
780	1166	327
781	1168	325
782	1169	324
783	1170	322
784	1172	321
785	1173	319
786	1175	318
787	1176	316
788	1177	314
789	1179	313
790	1180	311
791	1181	310
792	1183	308
793	1184	307
794	1186	305
795	1187	304
796	1189	302
797	1190	301
798	1191	299
799	1193	298
800	1194	296
801	1196	295
802	1197	293
803	1198	292
804	1199	290
805	1201	289
806	1202	287
807	1204	286
808	1205	284
809	1206	283
810	1208	281
811	1210	280
812	1211	278
813	1213	277
814	1214	275
815	1215	274
816	1217	272
817	1218	271
818	1219	269
819	1221	268
820	1222	266
821	1224	265
822	1226	263
823	1227	262
824	1228	260
825	1230	259
826	1231	257
827	1233	256
828	1234	254
829	1235	253
830	1237	251
831	1238	250
832	1240	248
833	1241	247
834	1242	245
835	1244	244
836	1245	242
837	1246	241
838	1248	239
839	1249	238
840	1251	236
841	1252	235
842	1253	233
843	1255	232
844	1256	230
845	1258	229
846	1259	227
847	1261	226
848	1262	224
849	1263	223
850	1265	221
851	1269	220
852	1271	219
853	1273	217
854	1274	216
855	1276	214
856	1277	213
857	1279	211
858	1280	210
859	1281	208
860	1283	207
861	1284	205
862	1286	204
863	1287	202
864	1288	201
865	1290	199
866	1291	198
867	1292	196
868	1293	195
869	1295	193
870	1296	192
871	1298	190
872	1299	189
873	1301	187
874	1302	186
875	1304	184
876	1305	183
877	1306	181
878	1308	180
879	1309	178
880	1310	177
881	1312	175
882	1313	174
883	1315	172
884	1316	171
885	1318	169
886	1319	168
887	1321	166
888	1322	165
889	1324	163
890	1325	162
891	1326	160
892	1328	159
893	1329	157
894	1331	156
895	1332	154
896	1334	153
897	1335	151
898	1336	150
899	1338	148
900	1339	147
901	1341	145
902	1342	144
903	1343	142
904	1345	141
905	1346	139
906	1348	138
907	1349	136
908	1350	135
909	1352	133
910	1353	132
911	1355	130
912	1356	129
913	1360	128
914	1362	126
915	1363	125
916	1364	123
917	1366	122
918	1367	120
919	1369	119
920	1370	117
921	1372	116
922	1373	114
923	1375	113
924	1376	111
925	1378	110
926	1380	108
927	1381	107
928	1383	105
929	1384	104
930	1386	102
931	1387	101
932	1389	99
933	1390	98
934	1391	96
935	1393	95
936	1394	93
937	1395	92
938	1397	90
939	1398	89
940	1400	87
941	1401	86
942	1403	84
943	1404	83
944	1406	81
945	1407	80
946	1409	78
947	1410	77
948	1411	75
949	1413	74
950	1414	72
951	1416	71
952	1417	69
953	1418	68
954	1420	66
955	1421	65
956	1423	63
957	1424	62
958	1426	60
959	1427	59
960	1428	57
961	1430	56
962	1431	55
963	1432	53
964	1435	52
965	1436	50
966	1437	49
967	1439	47
968	1440	46
969	1442	44
970	1443	43
971	1445	41
972	1446	40
973	1447	38
974	1449	37
975	1450	35
976	1452	34
977	1453	32
978	1455	31
979	1456	29
980	1458	28
981	1459	26
982	1461	25
983	1462	23
984	1463	22
985	1465	20
986	1466	19
987	1468	17
988	1469	16
989	1471	14
990	1472	13
991	1474	11
992	1475	10
993	1476	8
994	1478	7
995	1480	5
996	1481	4
997	1482	2
998	1484	1
999	1485	0
